symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
RUCHIRA,RSITTF,D,2022-08-17,105.64,43.65,67.86,70.14,214024,,18.85,29.90,22.76,14.78,-5.34,40.15,Win
RUCHIRA,RSITTF,D,2022-08-18,106.64,44.81,67.86,70.14,266707,,25.91,24.77,17.35,12.72,-6.23,38.83,Loss
EMUDHRA,RSITTF,D,2022-09-07,329.70,44.23,74.07,100.00,264795,,-1.84,-7.90,-4.26,3.06,-12.71,8.49,Win
TCPLPACK,RSITTF,D,2022-09-20,1182.55,42.68,62.13,89.49,33010,,-4.56,-4.88,10.41,36.24,-10.70,44.52,Loss
JKPAPER,RSITTF,D,2022-09-22,398.05,44.13,65.36,73.12,679758,,-8.44,-1.56,-3.25,4.62,-11.57,9.53,Loss
ATGL,RSITTF,D,2022-09-27,3378.70,43.26,76.93,89.08,483227,,-4.81,-5.20,3.82,8.47,-12.23,15.80,Loss
INDIANB,RSITTF,D,2022-09-27,188.25,44.08,63.65,67.27,893744,,5.13,3.08,26.00,44.46,-1.99,51.24,Loss
SESHAPAPER,RSITTF,D,2022-09-27,265.60,44.41,70.51,74.52,171413,,5.03,4.54,22.61,11.28,-2.28,30.99,Loss
ABB,RSITTF,D,2022-09-27,3032.75,42.52,68.22,81.14,398170,,1.58,7.08,0.22,1.92,-3.65,9.97,Loss
POONAWALLA,RSITTF,D,2022-09-27,290.55,44.05,61.63,66.55,4688508,,8.71,13.34,6.66,7.35,-2.17,16.33,Loss
GRINDWELL,RSITTF,D,2022-09-27,2096.70,43.62,62.80,75.54,16771,,-1.34,-4.43,-1.76,-7.86,-10.19,4.45,Loss
UFLEX,RSITTF,D,2022-09-27,721.45,44.67,63.03,74.22,107499,,1.75,-2.49,1.44,-15.48,-16.97,3.82,Loss
PENIND,RSITTF,D,2022-09-27,42.60,41.98,61.45,65.86,325193,,3.05,6.69,35.09,57.75,-6.22,65.02,Loss
MOLDTKPAC,RSITTF,D,2022-09-28,917.65,42.64,74.67,78.78,37170,,-2.62,-7.68,-0.90,-2.59,-11.62,3.53,Loss
MONARCH,RSITTF,D,2022-09-28,170.53,43.97,64.05,81.23,18144,,7.24,1.77,2.96,8.15,-4.42,19.59,Loss
NDTV,RSITTF,D,2022-09-28,291.91,42.02,61.21,86.81,139356,,-4.08,-8.76,-14.97,10.09,-15.43,27.42,Win
