symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
AXISBANK,WealthCreation,W,2021-08-27,752.40,0.00,74.61,0.00,5841967,,0.00,0.00,0.00,0.00,0.00,9.08,Win
ICICIBANK,WealthCreation,W,2021-08-27,699.75,0.00,64.40,0.00,9135827,,0.00,0.00,0.00,0.00,-0.76,5.01,Win
ANMOL,WealthCreation,W,2021-08-27,38.43,0.00,64.70,0.00,1119374,,0.00,0.00,0.00,0.00,-0.05,23.76,Win
RAJMET,WealthCreation,W,2021-08-27,8.31,0.00,88.04,0.00,181687,,0.00,0.00,0.00,0.00,0.00,33.94,Win
BDL,WealthCreation,W,2021-08-27,191.03,0.00,67.38,0.00,1538266,,0.00,0.00,0.00,0.00,0.00,8.07,Win
INFRABEES,WealthCreation,W,2021-08-27,473.27,0.00,84.00,0.00,1706,,0.00,0.00,0.00,0.00,0.00,24.71,Win
ADFFOODS,WealthCreation,W,2021-08-27,162.33,0.00,67.81,0.00,79769,,0.00,0.00,0.00,0.00,-2.70,23.21,Win
TCIEXP,WealthCreation,W,2021-08-27,1403.40,0.00,60.64,0.00,20395,,0.00,0.00,0.00,0.00,0.00,83.27,Win
KIRLOSIND,WealthCreation,W,2021-08-27,1398.25,0.00,74.57,0.00,18775,,0.00,0.00,0.00,0.00,-0.38,26.30,Win
SBCL,WealthCreation,W,2021-08-27,116.03,0.00,66.98,0.00,41299,,0.00,0.00,0.00,0.00,-4.40,192.31,Win
KOTHARIPET,WealthCreation,W,2021-08-27,50.95,0.00,62.19,0.00,172344,,0.00,0.00,0.00,0.00,0.00,18.55,Win
WENDT,WealthCreation,W,2021-08-27,4266.45,0.00,61.88,0.00,824,,0.00,0.00,0.00,0.00,-1.37,2.90,Loss
SUNDRMFAST,WealthCreation,W,2021-08-27,775.05,0.00,64.45,0.00,156026,,0.00,0.00,0.00,0.00,0.00,28.21,Win
BAJAJHLDNG,WealthCreation,W,2021-08-27,4194.95,0.00,81.10,0.00,21280,,0.00,0.00,0.00,0.00,0.00,34.93,Win
CARERATING,WealthCreation,W,2021-08-27,674.55,0.00,71.98,0.00,82301,,0.00,0.00,0.00,0.00,-0.21,10.30,Win
JUBLINGREA,WealthCreation,W,2021-08-27,715.40,0.00,72.46,0.00,1906569,,0.00,0.00,0.00,0.00,-0.46,8.87,Win
PGEL,WealthCreation,W,2021-08-27,35.26,0.00,62.71,0.00,235460,,0.00,0.00,0.00,0.00,-6.10,3.23,Loss
BANKBETA,WealthCreation,W,2021-08-27,35.76,0.00,68.47,0.00,3525,,0.00,0.00,0.00,0.00,-6.18,25.84,Win
DEEPAKNTR,WealthCreation,W,2021-08-27,2130.95,0.00,85.14,0.00,870778,,0.00,0.00,0.00,0.00,0.00,41.72,Win
SETF10GILT,WealthCreation,W,2021-08-27,204.79,0.00,64.40,0.00,732,,0.00,0.00,0.00,0.00,-0.58,16.21,Loss
HINDOILEXP,WealthCreation,W,2021-08-27,167.60,0.00,72.89,0.00,1015636,,0.00,0.00,0.00,0.00,-4.83,2.63,Loss
SOBHA,WealthCreation,W,2021-08-27,584.10,0.00,91.19,0.00,180846,,0.00,0.00,0.00,0.00,0.00,63.31,Win
HINDALCO,WealthCreation,W,2021-08-27,437.90,0.00,60.02,0.00,15558923,,0.00,0.00,0.00,0.00,0.00,11.44,Win
KEC,WealthCreation,W,2021-08-27,402.75,0.00,68.04,0.00,249779,,0.00,0.00,0.00,0.00,0.00,36.56,Win
RKFORGE,WealthCreation,W,2021-08-27,186.60,0.00,62.71,0.00,428444,,0.00,0.00,0.00,0.00,0.00,35.05,Win
DIVISLAB,WealthCreation,W,2021-08-27,4910.70,0.00,74.98,0.00,349435,,0.00,0.00,0.00,0.00,0.00,7.35,Win
SBIETFPB,WealthCreation,W,2021-08-27,184.62,0.00,63.22,0.00,2622,,0.00,0.00,0.00,0.00,0.00,20.25,Win
GOODLUCK,WealthCreation,W,2021-08-27,280.85,0.00,61.54,0.00,155361,,0.00,0.00,0.00,0.00,0.00,15.72,Win
ENGINERSIN,WealthCreation,W,2021-08-27,70.60,0.00,73.47,0.00,1282487,,0.00,0.00,0.00,0.00,0.00,16.86,Win
NORBTEAEXP,WealthCreation,W,2021-08-27,6.80,0.00,64.29,0.00,6815,,0.00,0.00,0.00,0.00,-8.82,9.56,Win
AAKASH,WealthCreation,W,2021-08-27,26.50,0.00,69.45,0.00,1579589,,0.00,0.00,0.00,0.00,-2.26,13.58,Win
RAMCOCEM,WealthCreation,W,2021-08-27,986.65,0.00,80.17,0.00,396547,,0.00,0.00,0.00,0.00,-1.39,8.35,Loss
MHRIL,WealthCreation,W,2021-08-27,308.80,0.00,80.94,0.00,103653,,0.00,0.00,0.00,0.00,-24.68,15.54,Loss
IGPL,WealthCreation,W,2021-08-27,603.00,0.00,60.68,0.00,163826,,0.00,0.00,0.00,0.00,0.00,68.92,Win
SHK,WealthCreation,W,2021-08-27,149.40,0.00,65.32,0.00,188950,,0.00,0.00,0.00,0.00,-2.51,3.38,Loss
INDIAMART,WealthCreation,W,2021-08-27,3571.73,0.00,88.60,0.00,123984,,0.00,0.00,0.00,0.00,0.00,35.94,Win
BNKETFAXIS,WealthCreation,W,2021-08-27,357.98,0.00,64.27,0.00,198,,0.00,0.00,0.00,0.00,-0.48,25.54,Win
RPSGVENT,WealthCreation,W,2021-08-27,693.30,0.00,62.63,0.00,224174,,0.00,0.00,0.00,0.00,-3.05,65.14,Win
CUB,WealthCreation,W,2021-08-27,111.23,0.00,66.22,0.00,4516563,,0.00,0.00,0.00,0.00,0.00,8.90,Win
BPL,WealthCreation,W,2021-08-27,35.85,0.00,83.21,0.00,272916,,0.00,0.00,0.00,0.00,0.00,392.75,Win
PUNJABCHEM,WealthCreation,W,2021-08-27,1626.80,0.00,81.60,0.00,19710,,0.00,0.00,0.00,0.00,-0.73,18.87,Win
INDHOTEL,WealthCreation,W,2021-08-27,140.15,0.00,69.55,0.00,2732212,,0.00,0.00,0.00,0.00,-0.43,69.39,Win
RELIGARE,WealthCreation,W,2021-08-27,148.85,0.00,64.45,0.00,465941,,0.00,0.00,0.00,0.00,-0.44,30.87,Win
ALLDIGI,WealthCreation,W,2021-08-27,421.90,0.00,76.59,0.00,10452,,0.00,0.00,0.00,0.00,0.00,14.25,Win
